"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2020","11.10","10.60","11.25","10.10","994.29M","6.73%"
"26-06-2020","10.40","9.80","10.75","9.75","1.09B","5.58%"
"25-06-2020","9.85","9.40","10.10","9.25","595.26M","0.51%"
"24-06-2020","9.80","10.35","10.40","9.50","524.34M","-4.39%"
"23-06-2020","10.25","10.10","10.50","10.00","442.67M","1.49%"
"22-06-2020","10.10","9.20","10.50","9.05","1.20B","10.38%"
"19-06-2020","9.15","9.75","9.90","9.05","542.60M","-6.15%"
"18-06-2020","9.75","9.85","10.35","9.05","994.95M","-1.02%"
"17-06-2020","9.85","9.35","10.00","9.35","450.38M","1.03%"
"16-06-2020","9.75","10.30","10.40","9.20","808.12M","-3.94%"
"15-06-2020","10.15","10.80","10.80","9.90","860.08M","0.00%"
"12-06-2020","10.15","8.50","10.30","8.00","1.50B","7.98%"
"11-06-2020","9.40","11.10","11.45","9.15","2.24B","-13.36%"
"10-06-2020","10.85","9.70","11.00","9.10","1.10B","7.96%"
"09-06-2020","10.05","12.35","12.35","9.00","1.56B","-16.25%"
"08-06-2020","12.00","11.55","12.60","11.20","1.95B","14.29%"
"05-06-2020","10.50","9.20","10.75","9.00","1.80B","22.09%"
"04-06-2020","8.60","8.20","8.90","8.00","870.35M","6.17%"
"03-06-2020","8.10","8.00","8.85","7.80","963.78M","5.19%"
"02-06-2020","7.70","6.65","7.85","6.60","940.73M","17.56%"
"01-06-2020","6.55","6.45","6.90","6.00","504.57M","0.00%"
"29-05-2020","6.55","6.35","7.80","6.35","2.40B","12.93%"
"28-05-2020","5.80","5.70","6.05","5.65","498.61M","2.65%"
"27-05-2020","5.65","5.65","5.70","5.55","196.63M","0.89%"
"26-05-2020","5.60","5.55","5.75","5.50","254.72M","1.82%"
"22-05-2020","5.50","5.50","5.70","5.35","350.55M","-0.90%"
"21-05-2020","5.55","5.65","5.85","5.35","400.54M","-1.77%"
"20-05-2020","5.65","5.65","5.95","5.50","504.61M","3.67%"
"19-05-2020","5.45","4.85","5.65","4.65","883.25M","17.20%"
"18-05-2020","4.65","4.95","5.10","4.60","349.61M","-4.12%"
"15-05-2020","4.85","4.75","5.00","4.55","232.14M","2.11%"
"14-05-2020","4.75","4.80","5.00","4.70","251.91M","-3.06%"
"13-05-2020","4.90","5.35","5.35","4.80","443.69M","-1.01%"
"12-05-2020","4.95","4.65","5.00","4.50","587.17M","7.61%"
"11-05-2020","4.60","4.25","4.80","4.20","924.55M","9.52%"
"08-05-2020","4.20","4.20","4.30","4.15","172.15M","1.20%"
"07-05-2020","4.15","4.20","4.30","4.10","160.74M","-2.35%"
"06-05-2020","4.25","4.10","4.40","4.05","434.23M","2.41%"
"05-05-2020","4.15","4.25","4.30","4.10","184.93M","0.00%"
"04-05-2020","4.15","4.05","4.35","3.90","445.02M","-1.19%"
"30-04-2020","4.20","4.35","4.40","4.10","307.55M","0.00%"
"29-04-2020","4.20","4.05","4.30","3.90","346.35M","5.00%"
"28-04-2020","4.00","4.20","4.20","3.95","303.93M","-2.44%"
"27-04-2020","4.10","4.00","4.20","4.00","250.39M","2.50%"
"24-04-2020","4.00","4.25","4.25","3.95","321.64M","-8.05%"
"23-04-2020","4.35","4.30","4.50","4.15","691.06M","10.13%"
"22-04-2020","3.95","3.90","4.05","3.70","437.81M","6.76%"
"21-04-2020","3.70","3.75","3.85","3.60","251.82M","-5.13%"
"20-04-2020","3.90","4.10","4.20","3.80","274.06M","-4.88%"
"17-04-2020","4.10","4.35","4.40","3.85","536.92M","-3.53%"
"16-04-2020","4.25","4.50","4.65","4.15","403.26M","0.00%"
"15-04-2020","4.25","4.45","4.90","4.00","709.33M","3.66%"
"13-04-2020","4.10","3.30","4.25","3.30","804.24M","24.24%"
"09-04-2020","3.30","3.25","3.30","3.20","116.62M","3.12%"
"08-04-2020","3.20","3.20","3.25","3.15","139.89M","0.00%"
"07-04-2020","3.20","3.25","3.30","3.15","127.01M","1.59%"
"03-04-2020","3.15","3.05","3.25","3.00","186.98M","3.28%"
"01-04-2020","3.05","3.10","3.15","3.00","178.20M","-1.61%"
"31-03-2020","3.10","3.20","3.25","3.05","161.31M","-1.59%"
"30-03-2020","3.15","3.25","3.25","3.10","82.15M","-1.56%"
"27-03-2020","3.20","3.30","3.30","3.20","105.89M","-1.54%"
"26-03-2020","3.25","3.40","3.40","3.25","143.52M","-2.99%"
"25-03-2020","3.35","3.35","3.45","3.30","129.17M","0.00%"
"24-03-2020","3.35","3.35","3.45","3.15","283.47M","6.35%"
"23-03-2020","3.15","3.25","3.40","3.10","312.98M","-8.70%"
"20-03-2020","3.45","3.60","3.60","3.30","387.07M","4.55%"
"19-03-2020","3.30","3.30","3.55","3.00","609.07M","4.76%"
"18-03-2020","3.15","5.30","5.70","2.70","2.23B","-35.05%"
"17-03-2020","4.85","6.00","6.20","4.70","698.68M","-14.91%"
"16-03-2020","5.70","5.50","7.20","5.10","1.32B","1.79%"
"13-03-2020","5.60","4.00","5.80","3.85","1.42B","33.33%"
"12-03-2020","4.20","4.60","4.60","4.05","741.59M","-3.45%"
"11-03-2020","4.35","4.40","4.95","4.20","721.20M","8.75%"
"09-03-2020","4.00","3.40","4.30","3.30","693.01M","21.21%"
"06-03-2020","3.30","3.40","3.45","3.20","338.76M","-8.33%"
"05-03-2020","3.60","3.45","3.85","3.30","338.22M","0.00%"
"04-03-2020","3.60","3.75","3.80","3.40","215.20M","-1.37%"
"03-03-2020","3.65","3.60","3.90","3.30","317.09M","5.80%"
"02-03-2020","3.45","3.90","4.10","3.30","244.21M","-10.39%"
"28-02-2020","3.85","3.80","3.95","3.55","395.44M","1.32%"
"27-02-2020","3.80","4.05","4.25","3.70","393.79M","-5.00%"
"26-02-2020","4.00","3.85","4.15","3.60","325.15M","1.27%"
"25-02-2020","3.95","3.95","4.30","3.50","598.93M","2.60%"
"24-02-2020","3.85","4.80","5.05","3.80","679.57M","-12.50%"
"20-02-2020","4.40","4.45","5.00","4.20","956.88M","4.76%"
"19-02-2020","4.20","3.15","4.45","3.10","1.02B","40.00%"
"18-02-2020","3.00","3.25","3.25","2.80","642.56M","-11.76%"
"17-02-2020","3.40","3.70","4.20","3.30","814.86M","0.00%"
"14-02-2020","3.40","4.35","5.45","3.25","1.42B","-24.44%"
"13-02-2020","4.50","4.50","4.55","4.40","99.79M","0.00%"
"12-02-2020","4.50","4.85","4.85","4.45","293.52M","-7.22%"
"11-02-2020","4.85","5.10","5.15","4.75","136.57M","-3.96%"
"10-02-2020","5.05","5.40","5.40","5.00","84.53M","-3.81%"
"07-02-2020","5.25","5.10","5.40","5.05","113.19M","1.94%"
"06-02-2020","5.15","5.35","5.55","5.10","110.56M","-1.90%"
"05-02-2020","5.25","5.25","5.35","4.95","121.13M","0.00%"
"04-02-2020","5.25","5.35","5.45","5.25","80.87M","-1.87%"
"03-02-2020","5.35","5.20","5.50","5.05","116.84M","1.90%"
"01-02-2020","5.25","5.35","5.50","5.25","129.78M","-0.94%"
"31-01-2020","5.30","5.30","5.45","5.10","163.36M","1.92%"
"30-01-2020","5.20","5.25","5.60","5.00","239.08M","-0.95%"
"29-01-2020","5.25","5.35","5.70","5.15","200.14M","-1.87%"
"28-01-2020","5.35","5.85","5.90","4.70","248.12M","-7.76%"
"27-01-2020","5.80","5.85","6.05","5.75","137.44M","-4.13%"
"24-01-2020","6.05","6.00","6.10","5.75","158.80M","2.54%"
"23-01-2020","5.90","5.60","6.10","5.60","346.15M","5.36%"
"22-01-2020","5.60","5.95","6.05","5.45","300.88M","-5.88%"
"21-01-2020","5.95","5.30","6.05","5.30","640.96M","22.68%"
"20-01-2020","4.85","4.70","5.15","4.60","323.84M","7.78%"
"17-01-2020","4.50","5.40","5.40","3.65","1.07B","-25.00%"
"16-01-2020","6.00","6.05","6.35","5.95","198.02M","0.00%"
"15-01-2020","6.00","6.10","6.10","5.85","122.77M","-1.64%"
"14-01-2020","6.10","6.15","6.20","6.05","72.91M","-0.81%"
"13-01-2020","6.15","6.10","6.25","5.95","135.92M","0.82%"
"10-01-2020","6.10","6.30","6.35","6.00","98.55M","-2.40%"
"09-01-2020","6.25","6.55","6.65","5.65","384.52M","-3.85%"
"08-01-2020","6.50","5.95","6.60","5.70","329.77M","8.33%"
"07-01-2020","6.00","6.00","6.20","5.90","85.29M","0.00%"
"06-01-2020","6.00","6.05","6.10","5.90","65.91M","-1.64%"
"03-01-2020","6.10","6.10","6.20","6.00","77.26M","0.00%"
"02-01-2020","6.10","6.00","6.20","5.95","67.01M","0.00%"
"01-01-2020","6.10","6.20","6.30","6.00","55.78M","-0.81%"
"31-12-2019","6.15","6.15","6.25","5.95","170.10M","0.00%"
"30-12-2019","6.15","5.80","6.35","5.75","170.38M","6.03%"
"27-12-2019","5.80","6.05","6.15","5.75","135.83M","-4.13%"
"26-12-2019","6.05","6.30","6.45","5.95","191.53M","-3.97%"
"24-12-2019","6.30","6.35","6.50","6.20","121.13M","-1.56%"
"23-12-2019","6.40","6.45","6.60","6.30","142.87M","-2.29%"
"20-12-2019","6.55","6.40","6.65","6.25","174.55M","-0.76%"
"19-12-2019","6.60","6.50","6.75","6.35","219.01M","3.12%"
"18-12-2019","6.40","7.25","7.35","6.30","328.20M","-7.25%"
"17-12-2019","6.90","6.60","7.00","6.35","314.34M","4.55%"
"16-12-2019","6.60","6.90","6.90","6.55","153.48M","-4.35%"
"13-12-2019","6.90","6.85","7.10","6.75","264.92M","1.47%"
"12-12-2019","6.80","6.85","7.00","6.70","121.37M","1.49%"
"11-12-2019","6.70","6.70","7.10","6.55","242.20M","2.29%"
"10-12-2019","6.55","6.25","6.85","6.15","385.02M","0.77%"
"09-12-2019","6.50","6.50","6.70","5.90","315.70M","-5.80%"
"06-12-2019","6.90","7.10","7.35","6.65","513.33M","-5.48%"
"05-12-2019","7.30","7.60","7.60","7.00","339.30M","-5.81%"
"04-12-2019","7.75","7.20","7.90","7.00","708.40M","9.93%"
"03-12-2019","7.05","7.90","7.95","6.70","733.29M","-9.62%"
"02-12-2019","7.80","7.50","8.80","7.50","1.47B","13.87%"
"29-11-2019","6.85","6.70","7.20","6.65","399.70M","3.79%"
"28-11-2019","6.60","5.90","6.85","5.90","559.33M","11.86%"
"27-11-2019","5.90","6.20","6.40","5.75","367.84M","-1.67%"
"26-11-2019","6.00","6.55","6.80","5.70","1.24B","-12.41%"
"25-11-2019","6.85","6.25","7.00","6.15","538.27M","4.58%"
"22-11-2019","6.55","6.60","6.95","6.05","455.28M","-1.50%"
"21-11-2019","6.65","7.75","7.95","6.15","879.93M","-5.67%"
"20-11-2019","7.05","6.65","8.15","6.65","1.82B","16.53%"
"19-11-2019","6.05","4.85","6.40","4.85","1.03B","35.96%"
"18-11-2019","4.45","3.95","4.55","3.90","553.19M","21.92%"
"15-11-2019","3.65","2.70","3.90","2.40","826.17M","23.73%"
"14-11-2019","2.95","3.35","3.45","2.85","585.72M","-20.27%"
"13-11-2019","3.70","3.75","4.00","3.65","219.39M","-7.50%"
"11-11-2019","4.00","3.80","4.05","3.75","106.63M","6.67%"
"08-11-2019","3.75","3.90","4.05","3.70","229.89M","-3.85%"
"07-11-2019","3.90","3.90","4.15","3.80","171.48M","1.30%"
"06-11-2019","3.85","4.10","4.15","3.80","168.13M","-8.33%"
"05-11-2019","4.20","4.50","4.65","4.10","119.28M","-6.67%"
"04-11-2019","4.50","4.50","4.75","4.40","179.15M","4.65%"
"01-11-2019","4.30","3.85","4.80","3.65","794.27M","10.26%"
"31-10-2019","3.90","3.80","4.00","3.30","414.80M","2.63%"
"30-10-2019","3.80","4.00","4.20","3.75","270.11M","-1.30%"
"29-10-2019","3.85","4.10","4.10","3.65","343.08M","-8.33%"
"27-10-2019","4.20","4.20","4.20","4.20","","2.44%"
"25-10-2019","4.10","4.15","4.20","3.65","420.42M","-5.75%"
"24-10-2019","4.35","5.60","5.65","4.10","755.71M","-23.01%"
"23-10-2019","5.65","6.20","6.25","5.55","159.05M","-7.38%"
"22-10-2019","6.10","6.40","6.55","6.00","128.10M","-4.69%"
"18-10-2019","6.40","6.35","6.60","6.25","103.59M","1.59%"
"17-10-2019","6.30","6.40","6.40","5.95","165.82M","-3.82%"
"16-10-2019","6.55","6.20","6.75","6.15","292.19M","6.50%"
"15-10-2019","6.15","6.40","6.45","6.10","107.23M","-3.91%"
"14-10-2019","6.40","6.05","6.50","5.90","135.92M","6.67%"
"11-10-2019","6.00","6.00","6.15","5.85","122.28M","-3.23%"
"10-10-2019","6.20","6.40","6.90","5.75","422.66M","5.98%"
"09-10-2019","5.85","5.20","6.00","5.15","207.24M","13.59%"
"07-10-2019","5.15","5.10","5.55","5.00","101.64M","1.98%"
"04-10-2019","5.05","5.15","5.35","5.00","83.13M","-0.98%"
"03-10-2019","5.10","5.35","5.40","5.00","119.49M","-5.56%"
"01-10-2019","5.40","6.30","6.30","5.20","219.65M","-12.20%"
"30-09-2019","6.15","5.70","6.45","4.95","381.24M","8.85%"
"27-09-2019","5.65","5.25","5.80","5.10","107.33M","8.65%"
"26-09-2019","5.20","5.35","5.45","5.15","82.85M","-1.89%"
"25-09-2019","5.30","5.55","5.60","5.20","81.68M","-5.36%"
"24-09-2019","5.60","5.60","5.75","5.30","91.36M","0.00%"
"23-09-2019","5.60","5.95","6.05","5.55","82.99M","-4.27%"
"20-09-2019","5.85","5.50","5.95","5.30","186.42M","7.34%"
"19-09-2019","5.45","4.90","5.70","4.90","320.60M","12.37%"
"18-09-2019","4.85","5.05","5.10","4.80","85.06M","-4.90%"
"17-09-2019","5.10","5.25","5.30","5.00","112.81M","-2.86%"
